signup_date,name,email,phone
2025-06-02 13:27:43.395334,Alice Johnson,alice@example.com,555-123-4567
2025-06-02 13:27:43.395334,Bob Smith,bob@example.com,555-987-6543
2025-06-02 13:28:59.643752,Charlie Davis,charlie@example.com,555-567-8901
2025-06-02 13:28:59.643752,Dana Lee,dana@example.com,555-234-5678
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 09:54:25
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 09:54:25
John Doe,john@example.com,9876543210,2025-06-03 09:54:26
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 09:56:02
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 09:56:02
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 10:01:52
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 10:01:52
John Doe,john@example.com,9876543210,2025-06-03 10:01:53
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 10:33:39
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 10:33:39
John Doe,john@example.com,9876543210,2025-06-03 10:33:39
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 14:06:56
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 14:06:56
John Doe,john@example.com,9876543210,2025-06-03 14:06:56
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 15:07:44
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 15:07:44
John Doe,john@example.com,9876543210,2025-06-03 15:07:44
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 15:12:37
Alice Johnson,alice@example.com,555-123-4567,2025-06-03 15:12:37
John Doe,john@example.com,9876543210,2025-06-03 15:12:37
John Doe,john@example.com,9876543210
John Doe,john@example.com,9876543210
John Doe,john@example.com,9876543210
